Sample,Population,Coverage,Batch,Total,Homozygotes,Heterozygotes,Island,Region
Sample08,LSA,15,New,0.00654626999971881,0.00323144841548801,0.0033148215842308,Trinidad,Oropouche
Sample09,LSA,15,New,0.00777057889337062,0.00458645454162158,0.00318412435174905,Trinidad,Oropouche
Sample10,LSA,15,New,0.00747464935153467,0.0042466383761951,0.00322801097533957,Trinidad,Oropouche
Sample11,LSA,16,New,0.00772398012375266,0.0051973408072356,0.00252663931651705,Trinidad,Oropouche
Sample12,LSA,16,New,0.00752627090669014,0.00511746258802817,0.00240880831866197,Trinidad,Oropouche
Sample13,LSA,16,New,0.00733965740803931,0.00438381218863031,0.00295584521940899,Trinidad,Oropouche
Sample14,LSA,16,New,0.00754053727820174,0.00499778704684755,0.00254275023135419,Trinidad,Oropouche
Sample15,LSA,17,New,0.00588891174051005,0.0034501704078035,0.00243874133270655,Trinidad,Oropouche
Sample16,LSA,18,New,0.00625658400478319,0.00409589158101529,0.0021606924237679,Trinidad,Oropouche
Sample17,LSA,19,New,0.00794313117360369,0.0051528577758086,0.0027902733977951,Trinidad,Oropouche
Sample18,LSA,20,New,0.00786238430108125,0.00562720627067293,0.00223517803040832,Trinidad,Oropouche
Sample19,LSA,20,New,0.00818348695516326,0.00538275269489142,0.00280073426027183,Trinidad,Oropouche
Sample01,ORO,12,New,0.00723513645634914,0.00419601166495288,0.00303912479139625,Trinidad,Oropouche
Sample02,ORO,13,New,0.0066,0.00351929515418502,0.00308070484581498,Trinidad,Oropouche
Sample03,ORO,13,New,0.00773141109654871,0.00520052424639581,0.00253088685015291,Trinidad,Oropouche
Sample04,ORO,14,New,0.00782509387274835,0.00493121766365005,0.0028938762090983,Trinidad,Oropouche
Sample05,ORO,14,New,0.0075773028285905,0.00461027738325433,0.00296702544533616,Trinidad,Oropouche
Sample06,ORO,15,New,0.00762436332767402,0.00458106960950764,0.00304329371816638,Trinidad,Oropouche
Sample07,ORO,15,New,0.00758385398147678,0.00443541423274242,0.00314843974873436,Trinidad,Oropouche
Sample08,ORO,15,New,0.00740918906206572,0.00433369679088363,0.00307549227118209,Trinidad,Oropouche
Sample09,ORO,16,New,0.00753361167502969,0.0045091354809055,0.00302447619412418,Trinidad,Oropouche
Sample10,ORO,16,New,0.00756887965318333,0.0040571817562968,0.00351169789688653,Trinidad,Oropouche
Sample11,ORO,17,New,0.00697483206448724,0.00370013434841021,0.00327469771607703,Trinidad,Oropouche
Sample12,ORO,17,New,0.00791593477759444,0.00461453842195845,0.00330139635563599,Trinidad,Oropouche
Sample13,ORO,19,New,0.007700304119436,0.00510404571007281,0.00259625840936319,Trinidad,Oropouche
Sample01,QUA,10,Old,0.00423175552943691,0.00128806496420558,0.00294369056523133,Trinidad,Oropouche
Sample02,QUA,11,Old,0.00556601056168987,0.00260841734677548,0.00295759321491439,Trinidad,Oropouche
Sample03,QUA,11,Old,0.00396848698375416,0.00102172636523782,0.00294676061851634,Trinidad,Oropouche
Sample04,QUA,15,Old,0.00425318214838445,0.00073023593695714,0.00352294621142731,Trinidad,Oropouche
Sample05,QUA,18,Old,0.00503025490786628,0.00256112586589273,0.00246912904197355,Trinidad,Oropouche
Sample06,QUA,10,Old,0.00372519345535536,0.00138088575426173,0.00234430770109363,Trinidad,Oropouche
Sample07,QUA,12,Old,0.0038631439576312,0.00144559460760713,0.00241754935002407,Trinidad,Oropouche
Sample08,QUA,13,Old,0.00443425245947069,0.00172315366495774,0.00271109879451296,Trinidad,Oropouche
Sample09,QUA,13,Old,0.00406274216390989,0.00114314726237875,0.00291959490153114,Trinidad,Oropouche
Sample10,QUA,13,Old,0.00491646691363405,0.00329556185080264,0.00162090506283141,Trinidad,Oropouche
Sample11,QUA,14,New,0.00439904420549582,0.00122281959378734,0.00317622461170848,Trinidad,Oropouche
Sample12,QUA,14,New,0.00620826877024933,0.00435624735878293,0.0018520214114664,Trinidad,Oropouche
Sample13,QUA,16,New,0.00431499791115444,0.0016861161398134,0.00262888177134104,Trinidad,Oropouche
Sample14,QUA,16,New,0.00428044612340349,0.00228158541704143,0.00199886070636206,Trinidad,Oropouche
Sample15,QUA,17,New,0.00412153430451128,0.00137687969924812,0.00274465460526316,Trinidad,Oropouche
Sample16,QUA,17,New,0.00390815187046343,0.00132104969290899,0.00258710217755444,Trinidad,Oropouche
Sample17,QUA,17,New,0.00440952029729653,0.00179115486085501,0.00261836543644152,Trinidad,Oropouche
Sample18,QUA,17,New,0.00454028514133451,0.00228607532346235,0.00225420981787215,Trinidad,Oropouche
Sample19,QUA,17,New,0.00423956728008945,0.00160336022723839,0.00263620705285106,Trinidad,Oropouche
Sample20,QUA,19,New,0.00568937728937729,0.00416776556776557,0.00152161172161172,Trinidad,Oropouche
